GOslim,Count,Percent,Term,go_terms
GO:0000228,13,3.13253012048193,nuclear chromosome,GO:0000790;GO:0005719;GO:0016589;GO:0031010;GO:0044454;GO:0070603;GO:0090537
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,168,40.4819277108434,cellular_component,GO:0000127;GO:0016021;GO:0000785;GO:0000790;GO:0000791;GO:0016020;GO:0005887;GO:0005719;GO:0005912;GO:0005924;GO:0005925;GO:0009501;GO:0009532;GO:0009570;GO:0009925;GO:0016589;GO:0030054;GO:0030055;GO:0031010;GO:0031224;GO:0031226;GO:0031254;GO:0031932;GO:0033186;GO:0033268;GO:0043296;GO:0044291;GO:0044434;GO:0044435;GO:0044454;GO:0044459;GO:0044464;GO:0045202;GO:0048476;GO:0070161;GO:0070603;GO:0090537;GO:0090576;GO:0098590;GO:0098845;GO:0098858;GO:0098952;GO:0099065;GO:1990130
GO:0005576,0,0,extracellular region,
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,27,6.50602409638554,intracellular,GO:0000127;GO:0000785;GO:0000790;GO:0000791;GO:0005719;GO:0009501;GO:0009532;GO:0009570;GO:0016589;GO:0031010;GO:0031932;GO:0044434;GO:0044435;GO:0044454;GO:0048476;GO:0070603;GO:0090537;GO:0090576;GO:0098845
GO:0005623,97,23.3734939759036,cell,GO:0000127;GO:0000785;GO:0000790;GO:0000791;GO:0005887;GO:0005719;GO:0009501;GO:0009532;GO:0009570;GO:0009925;GO:0016589;GO:0031010;GO:0031226;GO:0031254;GO:0031932;GO:0033268;GO:0044434;GO:0044435;GO:0044454;GO:0044459;GO:0044464;GO:0048476;GO:0070603;GO:0090537;GO:0090576;GO:0098590;GO:0098845;GO:0098858;GO:0098952;GO:0099065
GO:0005634,15,3.6144578313253,nucleus,GO:0000127;GO:0000790;GO:0005719;GO:0016589;GO:0031010;GO:0044454;GO:0070603;GO:0090537;GO:0090576
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,17,4.09638554216868,chromosome,GO:0000785;GO:0000790;GO:0000791;GO:0005719;GO:0016589;GO:0031010;GO:0044454;GO:0070603;GO:0090537
GO:0005730,0,0,nucleolus,
GO:0005737,6,1.44578313253012,cytoplasm,GO:0009501;GO:0009532;GO:0009570;GO:0044434;GO:0044435;GO:0098845
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,1,0.240963855421687,endosome,GO:0098845
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,26,6.26506024096386,plasma membrane,GO:0005887;GO:0009925;GO:0031226;GO:0044459;GO:0098590
GO:0005929,0,0,cilium,
GO:0009536,5,1.20481927710843,plastid,GO:0009501;GO:0009532;GO:0009570;GO:0044434;GO:0044435
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,1,0.240963855421687,cytoplasmic vesicle,GO:0098845
GO:0032991,12,2.89156626506024,protein-containing complex,GO:0000127;GO:0016589;GO:0031010;GO:0031932;GO:0033186;GO:0048476;GO:0070603;GO:0090537;GO:0090576;GO:1990130
GO:0043226,27,6.50602409638554,organelle,GO:0000127;GO:0000785;GO:0000790;GO:0000791;GO:0005719;GO:0009501;GO:0009532;GO:0009570;GO:0016589;GO:0031010;GO:0044434;GO:0044435;GO:0044454;GO:0070603;GO:0090537;GO:0090576;GO:0098845;GO:0098952;GO:0099065
