GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,23,28.3950617283951,cellular_component,GO:0000803;GO:0001741;GO:0005919;GO:0008076;GO:0016459;GO:0031466;GO:0031477;GO:0033655;GO:0035182;GO:0035577;GO:0044174;GO:0044175;GO:0044184;GO:0044185;GO:0044462;GO:0070775;GO:0070776;GO:0070825;GO:0072494;GO:0072669;GO:0098858
GO:0005576,1,1.23456790123457,extracellular region,GO:0035182
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,10,12.3456790123457,intracellular,GO:0000803;GO:0001741;GO:0016459;GO:0031466;GO:0031477;GO:0035577;GO:0070775;GO:0070776;GO:0072669
GO:0005623,15,18.5185185185185,cell,GO:0000803;GO:0001741;GO:0008076;GO:0016459;GO:0031466;GO:0031477;GO:0035577;GO:0044462;GO:0070775;GO:0070776;GO:0070825;GO:0072669;GO:0098858
GO:0005634,2,2.46913580246914,nucleus,GO:0070775;GO:0070776
GO:0005635,0,0,nuclear envelope,
GO:0005654,2,2.46913580246914,nucleoplasm,GO:0070775;GO:0070776
GO:0005694,2,2.46913580246914,chromosome,GO:0000803;GO:0001741
GO:0005730,0,0,nucleolus,
GO:0005737,1,1.23456790123457,cytoplasm,GO:0035577
GO:0005739,0,0,mitochondrion,
GO:0005764,1,1.23456790123457,lysosome,GO:0035577
GO:0005768,0,0,endosome,
GO:0005773,1,1.23456790123457,vacuole,GO:0035577
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,3,3.7037037037037,cytoskeleton,GO:0016459;GO:0031477
GO:0005886,1,1.23456790123457,plasma membrane,GO:0008076
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,2,2.46913580246914,external encapsulating structure,GO:0044462;GO:0070825
GO:0031012,0,0,extracellular matrix,
GO:0031410,1,1.23456790123457,cytoplasmic vesicle,GO:0035577
GO:0032991,8,9.87654320987654,protein-containing complex,GO:0008076;GO:0016459;GO:0031466;GO:0031477;GO:0070775;GO:0070776;GO:0072669
GO:0043226,8,9.87654320987654,organelle,GO:0000803;GO:0001741;GO:0016459;GO:0031477;GO:0035577;GO:0070775;GO:0070776
