GOslim,Count,Percent,Term,go_terms
GO:0003674,247,73.2937685459941,molecular_function,GO:0000166;GO:0001025;GO:0001032;GO:0001156;GO:0003693;GO:0042623;GO:0003774;GO:0003964;GO:0003975;GO:0004012;GO:0004505;GO:0004510;GO:0004674;GO:0038023;GO:0005216;GO:0005251;GO:0005524;GO:0016887;GO:0008061;GO:0008261;GO:0008963;GO:0009882;GO:0015267;GO:0016207;GO:0016405;GO:0016714;GO:0016740;GO:0016772;GO:0017022;GO:0017076;GO:0022803;GO:0022838;GO:0030554;GO:0030898;GO:0032027;GO:0032404;GO:0032405;GO:0032407;GO:0032553;GO:0032555;GO:0032559;GO:0035639;GO:0039660;GO:0043167;GO:0043492;GO:0070888;GO:0071889;GO:0097159;GO:0097367;GO:1901265;GO:1901363
GO:0003677,3,0.890207715133531,DNA binding,GO:0001032;GO:0003693;GO:0070888
GO:0003700,0,0,DNA-binding transcription factor ac...,
GO:0003723,0,0,RNA binding,
GO:0003729,0,0,mRNA binding,
GO:0003735,0,0,structural constituent of ribosome,
GO:0003924,0,0,GTPase activity,
GO:0004386,0,0,helicase activity,
GO:0004518,0,0,nuclease activity,
GO:0005198,1,0.29673590504451,structural molecule activity,GO:0039660
GO:0008092,4,1.18694362017804,cytoskeletal protein binding,GO:0017022;GO:0032027
GO:0008134,2,0.593471810089021,transcription factor binding,GO:0001025;GO:0001156
GO:0008135,0,0,translation factor activity, RNA bi...,
GO:0008168,0,0,methyltransferase activity,
GO:0008233,0,0,peptidase activity,
GO:0008289,0,0,lipid binding,
GO:0016301,3,0.890207715133531,kinase activity,GO:0004674
GO:0016491,3,0.890207715133531,oxidoreductase activity,GO:0004505;GO:0004510;GO:0016714
GO:0016746,0,0,transferase activity, transferring ...,
GO:0016757,0,0,transferase activity, transferring ...,
GO:0016765,0,0,transferase activity, transferring ...,
GO:0016779,4,1.18694362017804,nucleotidyltransferase activity,GO:0003964
GO:0016791,0,0,phosphatase activity,
GO:0016798,0,0,hydrolase activity, acting on glyco...,
GO:0016810,0,0,hydrolase activity, acting on carbo...,
GO:0016829,0,0,lyase activity,
GO:0016853,0,0,isomerase activity,
GO:0016874,2,0.593471810089021,ligase activity,GO:0016207;GO:0016405
GO:0016887,14,4.15430267062315,ATPase activity,GO:0042623;GO:0004012;GO:0030898;GO:0043492
GO:0019843,0,0,rRNA binding,
GO:0019899,0,0,enzyme binding,
GO:0022857,13,3.85756676557863,transmembrane transporter activity,GO:0005216;GO:0005251;GO:0015267;GO:0022803;GO:0022838
GO:0030234,0,0,enzyme regulator activity,
GO:0030533,0,0,triplet codon-amino acid adaptor ac...,
GO:0030555,0,0,RNA modification guide activity,
GO:0030674,0,0,protein binding, bridging,
GO:0032182,0,0,ubiquitin-like protein binding,
GO:0042393,0,0,histone binding,
GO:0043167,41,12.1661721068249,ion binding,GO:0005524;GO:0035639
GO:0051082,0,0,unfolded protein binding,
