GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,38,24.203821656051,cellular_component,GO:0000803;GO:0001741;GO:0005828;GO:0005902;GO:0005919;GO:0008076;GO:0016459;GO:0016461;GO:0031304;GO:0031305;GO:0031466;GO:0031477;GO:0034663;GO:0035182;GO:0044175;GO:0044185;GO:0044462;GO:0045179;GO:0045180;GO:0070775;GO:0070776;GO:0070825;GO:0098858;GO:0099738;GO:1990423
GO:0005576,2,1.27388535031847,extracellular region,GO:0035182
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,23,14.6496815286624,intracellular,GO:0000803;GO:0001741;GO:0005828;GO:0016459;GO:0016461;GO:0031304;GO:0031305;GO:0031466;GO:0031477;GO:0034663;GO:0045179;GO:0045180;GO:0070775;GO:0070776;GO:0099738;GO:1990423
GO:0005623,33,21.0191082802548,cell,GO:0000803;GO:0001741;GO:0005828;GO:0005902;GO:0008076;GO:0016459;GO:0016461;GO:0031304;GO:0031305;GO:0031466;GO:0031477;GO:0034663;GO:0044462;GO:0045179;GO:0045180;GO:0070775;GO:0070776;GO:0070825;GO:0098858;GO:0099738;GO:1990423
GO:0005634,2,1.27388535031847,nucleus,GO:0070775;GO:0070776
GO:0005635,0,0,nuclear envelope,
GO:0005654,2,1.27388535031847,nucleoplasm,GO:0070775;GO:0070776
GO:0005694,3,1.91082802547771,chromosome,GO:0000803;GO:0001741;GO:1990423
GO:0005730,0,0,nucleolus,
GO:0005737,9,5.73248407643312,cytoplasm,GO:0031304;GO:0031305;GO:0034663;GO:0045179;GO:0045180;GO:0099738
GO:0005739,2,1.27388535031847,mitochondrion,GO:0031304;GO:0031305
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,1,0.636942675159236,endoplasmic reticulum,GO:0034663
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,8,5.09554140127389,cytoskeleton,GO:0005828;GO:0016459;GO:0016461;GO:0031477
GO:0005886,1,0.636942675159236,plasma membrane,GO:0008076
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,4,2.54777070063694,external encapsulating structure,GO:0044462;GO:0070825
GO:0031012,0,0,extracellular matrix,
GO:0031410,0,0,cytoplasmic vesicle,
GO:0032991,13,8.28025477707006,protein-containing complex,GO:0008076;GO:0016459;GO:0016461;GO:0031466;GO:0031477;GO:0034663;GO:0070775;GO:0070776;GO:1990423
GO:0043226,16,10.1910828025478,organelle,GO:0000803;GO:0001741;GO:0005828;GO:0016459;GO:0016461;GO:0031304;GO:0031305;GO:0031477;GO:0034663;GO:0070775;GO:0070776;GO:1990423
