GOslim,Count,Percent,Term,go_terms
GO:0003674,127,69.3989071038251,molecular_function,GO:0001671;GO:0042623;GO:0051087;GO:0003774;GO:0051015;GO:0003824;GO:0003995;GO:0004505;GO:0004510;GO:0004609;GO:0004738;GO:0004739;GO:0005251;GO:0005524;GO:0016887;GO:0008261;GO:0051787;GO:0015562;GO:0016207;GO:0016263;GO:0016405;GO:0016624;GO:0016671;GO:0016714;GO:0017022;GO:0030554;GO:0030898;GO:0032027;GO:0032404;GO:0032405;GO:0032407;GO:0032555;GO:0032559;GO:0035639;GO:0039660;GO:0044466;GO:0044877;GO:0047617;GO:0048531;GO:0071889;GO:0098770
GO:0003677,0,0,DNA binding,
GO:0003700,0,0,DNA-binding transcription factor ac...,
GO:0003723,0,0,RNA binding,
GO:0003729,0,0,mRNA binding,
GO:0003735,0,0,structural constituent of ribosome,
GO:0003924,0,0,GTPase activity,
GO:0004386,0,0,helicase activity,
GO:0004518,0,0,nuclease activity,
GO:0005198,1,0.546448087431694,structural molecule activity,GO:0039660
GO:0008092,9,4.91803278688525,cytoskeletal protein binding,GO:0051015;GO:0017022;GO:0032027
GO:0008134,0,0,transcription factor binding,
GO:0008135,0,0,translation factor activity, RNA bi...,
GO:0008168,0,0,methyltransferase activity,
GO:0008233,0,0,peptidase activity,
GO:0008289,0,0,lipid binding,
GO:0016301,0,0,kinase activity,
GO:0016491,8,4.37158469945355,oxidoreductase activity,GO:0003995;GO:0004505;GO:0004510;GO:0004738;GO:0004739;GO:0016624;GO:0016671;GO:0016714
GO:0016746,0,0,transferase activity, transferring ...,
GO:0016757,2,1.09289617486339,transferase activity, transferring ...,GO:0016263;GO:0048531
GO:0016765,0,0,transferase activity, transferring ...,
GO:0016779,0,0,nucleotidyltransferase activity,
GO:0016791,0,0,phosphatase activity,
GO:0016798,0,0,hydrolase activity, acting on glyco...,
GO:0016810,0,0,hydrolase activity, acting on carbo...,
GO:0016829,1,0.546448087431694,lyase activity,GO:0004609
GO:0016853,0,0,isomerase activity,
GO:0016874,2,1.09289617486339,ligase activity,GO:0016207;GO:0016405
GO:0016887,12,6.55737704918033,ATPase activity,GO:0042623;GO:0030898
GO:0019843,0,0,rRNA binding,
GO:0019899,0,0,enzyme binding,
GO:0022857,2,1.09289617486339,transmembrane transporter activity,GO:0005251;GO:0015562
GO:0030234,1,0.546448087431694,enzyme regulator activity,GO:0001671
GO:0030533,0,0,triplet codon-amino acid adaptor ac...,
GO:0030555,0,0,RNA modification guide activity,
GO:0030674,0,0,protein binding, bridging,
GO:0032182,0,0,ubiquitin-like protein binding,
GO:0042393,0,0,histone binding,
GO:0043167,18,9.83606557377049,ion binding,GO:0005524;GO:0035639
GO:0051082,0,0,unfolded protein binding,
