GOslim,Count,Percent,Term,go_terms
GO:0003674,1109,70.1011378002528,molecular_function,GO:0051082;GO:0000033;GO:0009055;GO:0000166;GO:0001069;GO:0004197;GO:0001882;GO:0001883;GO:0003723;GO:0003755;GO:0003824;GO:0003916;GO:0003917;GO:0003920;GO:0017111;GO:0004175;GO:0008234;GO:0004843;GO:0004222;GO:0008237;GO:0008233;GO:0004365;GO:0004386;GO:0004448;GO:0004450;GO:0004457;GO:0004568;GO:0004610;GO:0004615;GO:0004768;GO:0004826;GO:0004866;GO:0004867;GO:0004869;GO:0005310;GO:0005343;GO:0015142;GO:0005342;GO:0015291;GO:0005525;GO:0017069;GO:0016491;GO:0015367;GO:0008028;GO:0008514;GO:0008649;GO:0008720;GO:0070011;GO:0010427;GO:0061135;GO:0015035;GO:0015077;GO:0015129;GO:0015140;GO:0015245;GO:0015297;GO:0015301;GO:0015355;GO:0015369;GO:0015552;GO:0015556;GO:0015635;GO:0015636;GO:0016215;GO:0016505;GO:0016614;GO:0016615;GO:0016616;GO:0016620;GO:0016903;GO:0016657;GO:0016717;GO:0016787;GO:0016853;GO:0016859;GO:0016866;GO:0016868;GO:0016874;GO:0016937;GO:0016979;GO:0016992;GO:0017076;GO:0030414;GO:0018738;GO:0019001;GO:0019784;GO:0030060;GO:0032549;GO:0032550;GO:0032553;GO:0032555;GO:0032561;GO:0033677;GO:0035639;GO:0035727;GO:0036094;GO:0043167;GO:0043168;GO:0043891;GO:0046943;GO:0051139;GO:0051287;GO:0051536;GO:0051539;GO:0051540;GO:0052857;GO:0052925;GO:0061134;GO:0061798;GO:0070283;GO:0097367;GO:0099516;GO:0102521;GO:1901265;GO:1901618;GO:1990259
GO:0003677,0,0,DNA binding,
GO:0003700,0,0,DNA binding transcription factor ac...,
GO:0003723,30,1.89633375474083,RNA binding,GO:0001069;GO:0017069
GO:0003729,0,0,mRNA binding,
GO:0003735,0,0,structural constituent of ribosome,
GO:0003924,0,0,GTPase activity,
GO:0004386,11,0.695322376738306,helicase activity,GO:0033677
GO:0004518,0,0,nuclease activity,
GO:0005198,0,0,structural molecule activity,
GO:0008092,0,0,cytoskeletal protein binding,
GO:0008134,0,0,transcription factor binding,
GO:0008135,0,0,translation factor activity, RNA bi...,
GO:0008168,3,0.189633375474083,methyltransferase activity,GO:0008649;GO:1990259
GO:0008233,82,5.18331226295828,peptidase activity,GO:0004197;GO:0004175;GO:0008234;GO:0004843;GO:0004222;GO:0008237;GO:0070011;GO:0019784
GO:0008289,2,0.126422250316056,lipid binding,GO:0010427;GO:0035727
GO:0016301,0,0,kinase activity,
GO:0016491,56,3.53982300884956,oxidoreductase activity,GO:0009055;GO:0003920;GO:0004365;GO:0004448;GO:0004450;GO:0004457;GO:0004768;GO:0008720;GO:0015035;GO:0016215;GO:0016614;GO:0016615;GO:0016616;GO:0016620;GO:0016903;GO:0016657;GO:0016717;GO:0016937;GO:0030060;GO:0043891
GO:0016746,0,0,transferase activity, transferring ...,
GO:0016757,2,0.126422250316056,transferase activity, transferring ...,GO:0000033;GO:0052925
GO:0016765,0,0,transferase activity, transferring ...,
GO:0016779,2,0.126422250316056,nucleotidyltransferase activity,GO:0016979;GO:0016992
GO:0016791,0,0,phosphatase activity,
GO:0016798,1,0.0632111251580278,hydrolase activity, acting on glyco...,GO:0004568
GO:0016810,0,0,hydrolase activity, acting on carbo...,
GO:0016829,2,0.126422250316056,lyase activity,GO:0061798;GO:0102521
GO:0016853,32,2.02275600505689,isomerase activity,GO:0003755;GO:0003916;GO:0003917;GO:0004610;GO:0004615;GO:0016859;GO:0016866;GO:0016868;GO:0052857
GO:0016874,8,0.505689001264222,ligase activity,GO:0016979;GO:0016992
GO:0016887,0,0,ATPase activity,
GO:0019843,0,0,rRNA binding,
GO:0019899,0,0,enzyme binding,
GO:0022857,59,3.72945638432364,transmembrane transporter activity,GO:0005310;GO:0005343;GO:0015142;GO:0005342;GO:0015291;GO:0015367;GO:0008028;GO:0008514;GO:0015077;GO:0015129;GO:0015140;GO:0015297;GO:0015301;GO:0015355;GO:0015369;GO:0015552;GO:0015556;GO:0046943;GO:0051139;GO:0099516;GO:1901618
GO:0030234,27,1.70670037926675,enzyme regulator activity,GO:0004866;GO:0004867;GO:0004869;GO:0061135;GO:0016505;GO:0030414;GO:0061134
GO:0030533,0,0,triplet codon-amino acid adaptor ac...,
GO:0030555,0,0,RNA modification guide activity,
GO:0030674,0,0,protein binding, bridging,
GO:0032182,0,0,ubiquitin-like protein binding,
GO:0042393,0,0,histone binding,
GO:0043167,156,9.86093552465234,ion binding,GO:0005525;GO:0010427;GO:0035639;GO:0035727;GO:0043168
GO:0051082,0,0,unfolded protein binding,
