GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,144,26.4705882352941,cellular_component,GO:0000974;GO:0030529;GO:0005615;GO:0005618;GO:0005666;GO:0005788;GO:0005791;GO:0030139;GO:0009328;GO:0009506;GO:0009507;GO:0009526;GO:0009536;GO:0009941;GO:0015030;GO:0019008;GO:0020003;GO:0020020;GO:0030312;GO:0031095;GO:0031595;GO:0031974;GO:0032010;GO:0043233;GO:0044434;GO:0044435;GO:0045335;GO:0065010;GO:0070013;GO:0071001;GO:0071540;GO:0072669;GO:0097546;GO:1902560;GO:1990904
GO:0005576,11,2.02205882352941,extracellular region,GO:0005615;GO:0020003;GO:0065010
GO:0005615,9,1.65441176470588,extracellular space,
GO:0005618,3,0.551470588235294,cell wall,
GO:0005622,77,14.1544117647059,intracellular,GO:0030529;GO:0005666;GO:0005788;GO:0005791;GO:0030139;GO:0009328;GO:0009507;GO:0009526;GO:0009536;GO:0009941;GO:0015030;GO:0020020;GO:0031095;GO:0031595;GO:0032010;GO:0044434;GO:0044435;GO:0045335;GO:0070013;GO:0071001;GO:0071540;GO:0072669
GO:0005623,86,15.8088235294118,cell,GO:0030529;GO:0005618;GO:0005666;GO:0005788;GO:0005791;GO:0030139;GO:0009328;GO:0009507;GO:0009526;GO:0009536;GO:0009941;GO:0015030;GO:0019008;GO:0020020;GO:0030312;GO:0031095;GO:0031595;GO:0032010;GO:0044434;GO:0044435;GO:0045335;GO:0070013;GO:0071001;GO:0071540;GO:0072669;GO:0097546
GO:0005634,7,1.28676470588235,nucleus,GO:0005666;GO:0015030;GO:0031595;GO:0071001
GO:0005635,0,0,nuclear envelope,
GO:0005654,5,0.919117647058823,nucleoplasm,GO:0005666;GO:0015030
GO:0005694,0,0,chromosome,
GO:0005730,0,0,nucleolus,
GO:0005737,37,6.80147058823529,cytoplasm,GO:0005788;GO:0005791;GO:0030139;GO:0009328;GO:0009507;GO:0009526;GO:0009536;GO:0009941;GO:0020020;GO:0032010;GO:0044434;GO:0044435;GO:0045335;GO:0071540
GO:0005739,0,0,mitochondrion,
GO:0005764,2,0.367647058823529,lysosome,GO:0020020;GO:0032010
GO:0005768,0,0,endosome,
GO:0005773,2,0.367647058823529,vacuole,GO:0020020;GO:0032010
GO:0005777,0,0,peroxisome,
GO:0005783,7,1.28676470588235,endoplasmic reticulum,GO:0005788;GO:0005791
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,0,0,plasma membrane,
GO:0005929,2,0.367647058823529,cilium,GO:0097546
GO:0009536,18,3.30882352941176,plastid,GO:0009507;GO:0009526;GO:0009941;GO:0044434;GO:0044435
GO:0009579,0,0,thylakoid,
GO:0030312,6,1.10294117647059,external encapsulating structure,GO:0005618
GO:0031012,0,0,extracellular matrix,
GO:0031410,9,1.65441176470588,cytoplasmic vesicle,GO:0030139;GO:0020020;GO:0032010;GO:0045335
GO:0032991,51,9.375,macromolecular complex,GO:0000974;GO:0030529;GO:0005666;GO:0009328;GO:0019008;GO:0031595;GO:0071001;GO:0071540;GO:0072669;GO:1902560;GO:1990904
GO:0043226,68,12.5,organelle,GO:0005666;GO:0005788;GO:0005791;GO:0030139;GO:0009507;GO:0009526;GO:0009536;GO:0009941;GO:0015030;GO:0020003;GO:0020020;GO:0031095;GO:0031595;GO:0032010;GO:0043233;GO:0044434;GO:0044435;GO:0045335;GO:0065010;GO:0070013;GO:0071001;GO:0097546
