,Count,Percent,Term,go_terms
GO:0000003,1,0.515463917525773,reproduction,GO:0022412
GO:0000278,2,1.03092783505155,mitotic cell cycle,GO:0007346;GO:1903047
GO:0000902,0,0,cell morphogenesis,
GO:0002376,0,0,immune system process,
GO:0003013,0,0,circulatory system process,
GO:0005975,0,0,carbohydrate metabolic process,
GO:0006091,0,0,generation of precursor metabolites...,
GO:0006259,1,0.515463917525773,DNA metabolic process,GO:0006310
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,3,1.54639175257732,cellular protein modification proce...,GO:0001932;GO:0031399;GO:0031401
GO:0006520,0,0,cellular amino acid metabolic proce...,
GO:0006605,0,0,protein targeting,
GO:0006629,0,0,lipid metabolic process,
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,0,0,transport,
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,2,1.03092783505155,response to stress,GO:0033554
GO:0007005,0,0,mitochondrion organization,
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,6,3.09278350515464,cell cycle,GO:0051726;GO:0007346;GO:0010564;GO:0022402;GO:0045787;GO:1903047
GO:0007059,0,0,chromosome segregation,
GO:0007155,2,1.03092783505155,cell adhesion,GO:0030155
GO:0007165,7,3.60824742268041,signal transduction,GO:0035556;GO:0009966;GO:0009967;GO:0009968;GO:1902531;GO:1902533
GO:0007267,0,0,cell-cell signaling,
GO:0007568,0,0,aging,
