GOslim,Count,Percent,Term,go_terms
GO:0000003,16,2.13333333333333,reproduction,GO:0007294;GO:0007308;GO:0007338;GO:0007342;GO:0022412;GO:0030727;GO:0035036;GO:0042078;GO:0045478;GO:0048132;GO:0048134;GO:0048135;GO:0098728
GO:0000278,1,0.133333333333333,mitotic cell cycle,GO:0010458
GO:0000902,4,0.533333333333333,cell morphogenesis,GO:0008360;GO:0048670;GO:0048672
GO:0002376,13,1.73333333333333,immune system process,GO:0002286;GO:0002292;GO:0002752;GO:0002764;GO:0002768;GO:0030885;GO:0030887;GO:0036336;GO:0045087
GO:0003013,1,0.133333333333333,circulatory system process,GO:0045776
GO:0005975,14,1.86666666666667,carbohydrate metabolic process,GO:0005976;GO:0006063;GO:0010412;GO:0019585;GO:0044247;GO:0044264;GO:0046355;GO:0052695;GO:0052696;GO:0052697;GO:2001029;GO:2001030
GO:0006091,0,0,generation of precursor metabolites...,
GO:0006259,0,0,DNA metabolic process,
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,1,0.133333333333333,cellular protein modification proce...,GO:0097039
GO:0006520,0,0,cellular amino acid metabolic proce...,
GO:0006605,0,0,protein targeting,
GO:0006629,25,3.33333333333333,lipid metabolic process,GO:0001523;GO:0002138;GO:0006720;GO:0006721;GO:0008202;GO:0016101;GO:0016102;GO:0019218;GO:0042573;GO:0045940;GO:0090181;GO:0090205
GO:0006790,3,0.4,sulfur compound metabolic process,GO:0019295;GO:0019296;GO:0050427
GO:0006810,20,2.66666666666667,transport,GO:0006898;GO:0016081;GO:0031623;GO:0032373;GO:0032376;GO:0032377;GO:0032379;GO:0032380;GO:0032382;GO:0032383;GO:0032385;GO:0090118;GO:0099003;GO:0150007;GO:1905600;GO:1905602
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,21,2.8,response to stress,GO:0002526;GO:0002752;GO:0006952;GO:0006953;GO:0006954;GO:0006982;GO:0010543;GO:0010544;GO:0033194;GO:0045087;GO:0071447;GO:0071449;GO:0090330;GO:0090331
GO:0007005,0,0,mitochondrion organization,
GO:0007009,1,0.133333333333333,plasma membrane organization,GO:0097320
GO:0007010,39,5.2,cytoskeleton organization,GO:0051016;GO:0030832;GO:0007026;GO:0008064;GO:0030833;GO:0030834;GO:0030835;GO:0030837;GO:0031532;GO:0032956;GO:0043520;GO:0051493;GO:0051494;GO:0051693;GO:0051764;GO:0071689
GO:0007034,0,0,vacuolar transport,
GO:0007049,1,0.133333333333333,cell cycle,GO:0010458
GO:0007059,0,0,chromosome segregation,
GO:0007155,3,0.4,cell adhesion,GO:0034111;GO:0090330;GO:0090331
GO:0007165,5,0.666666666666667,signal transduction,GO:0002752;GO:0002764;GO:0002768
GO:0007267,8,1.06666666666667,cell-cell signaling,GO:0016081;GO:0031637;GO:0042062;GO:0050804;GO:0050806
GO:0007568,0,0,aging,
GO:0008150,361,48.1333333333333,biological_process,GO:0001523;GO:0002138;GO:0002286;GO:0002292;GO:0002526;GO:0002752;GO:0002764;GO:0002768;GO:0051016;GO:0030832;GO:0006952;GO:0006953;GO:0005976;GO:0006022;GO:0006030;GO:0006040;GO:0006063;GO:0006067;GO:0006068;GO:0036261;GO:0006720;GO:0006721;GO:0006787;GO:0006789;GO:0006805;GO:0006898;GO:0050954;GO:0006954;GO:0006982;GO:0007026;GO:0007294;GO:0007308;GO:0007338;GO:0007342;GO:0007586;GO:0007605;GO:0008064;GO:0008202;GO:0008360;GO:0008361;GO:0009812;GO:0009988;GO:0010033;GO:0010412;GO:0010458;GO:0010543;GO:0010544;GO:0010639;GO:0010755;GO:0010756;GO:0010817;GO:0010927;GO:0010954;GO:0010984;GO:0010986;GO:0010988;GO:0016081;GO:0016101;GO:0016102;GO:0016998;GO:0018879;GO:0019218;GO:0019295;GO:0019296;GO:0019585;GO:0021556;GO:0022412;GO:0070887;GO:0030029;GO:0030716;GO:0030727;GO:0030833;GO:0030834;GO:0030835;GO:0030837;GO:0030885;GO:0030887;GO:0030913;GO:0031333;GO:0031532;GO:0031623;GO:0031637;GO:0032271;GO:0032272;GO:0032373;GO:0032376;GO:0032377;GO:0032379;GO:0032380;GO:0032382;GO:0032383;GO:0032385;GO:0032535;GO:0032956;GO:0032970;GO:0033015;GO:0033194;GO:0034035;GO:0034111;GO:0034310;GO:0034381;GO:0034383;GO:0034754;GO:0035036;GO:0035115;GO:0036336;GO:0042062;GO:0042078;GO:0042167;GO:0042178;GO:0042403;GO:0042445;GO:0042472;GO:0042490;GO:0042573;GO:0042982;GO:0043112;GO:0043242;GO:0043244;GO:0043254;GO:0043520;GO:0044036;GO:0044247;GO:0044264;GO:0045087;GO:0045471;GO:0045478;GO:0045776;GO:0045940;GO:0046149;GO:0046355;GO:0048132;GO:0048134;GO:0048135;GO:0048469;GO:0048670;GO:0048672;GO:0048800;GO:0050427;GO:0050803;GO:0050804;GO:0050806;GO:0050957;GO:0051187;GO:0051493;GO:0051494;GO:0051552;GO:0051693;GO:0051764;GO:0052695;GO:0052696;GO:0052697;GO:0055094;GO:0060113;GO:0060361;GO:0061024;GO:0065008;GO:0070358;GO:0070613;GO:0070980;GO:0071310;GO:0071361;GO:0071392;GO:0071402;GO:0071404;GO:0071447;GO:0071449;GO:0071560;GO:0071689;GO:0090066;GO:0090118;GO:0090181;GO:0090205;GO:0090330;GO:0090331;GO:0097039;GO:0097305;GO:0097306;GO:0097320;GO:0097749;GO:0097753;GO:0098728;GO:0099003;GO:0150007;GO:1900029;GO:1901071;GO:1901879;GO:1901880;GO:1902903;GO:1902904;GO:1903317;GO:1903319;GO:1904223;GO:1904224;GO:1904705;GO:1904707;GO:1905581;GO:1905600;GO:1905602;GO:2001029;GO:2001030
GO:0008219,0,0,cell death,
GO:0008283,5,0.666666666666667,cell proliferation,GO:0030727;GO:0048134;GO:0048135;GO:1904705;GO:1904707
GO:0009056,12,1.6,catabolic process,GO:0006068;GO:0006787;GO:0006789;GO:0016998;GO:0033015;GO:0034310;GO:0042167;GO:0042178;GO:0044247;GO:0046355;GO:0051187;GO:0070980
GO:0009058,3,0.4,biosynthetic process,GO:0002138;GO:0016102;GO:0019295
GO:0009790,2,0.266666666666667,embryo development,GO:0035115;GO:0042472
GO:0015031,0,0,protein transport,
GO:0015979,0,0,photosynthesis,
GO:0016192,12,1.6,vesicle-mediated transport,GO:0006898;GO:0016081;GO:0031623;GO:0090118;GO:0099003;GO:0150007;GO:1905600;GO:1905602
GO:0019748,0,0,secondary metabolic process,
GO:0021700,3,0.4,developmental maturation,GO:0007308;GO:0048469
GO:0022607,29,3.86666666666667,cellular component assembly,GO:0051016;GO:0010927;GO:0030833;GO:0030837;GO:0030913;GO:0031333;GO:0032271;GO:0032272;GO:0043254;GO:0043520;GO:0051693;GO:0071689;GO:1900029
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,17,2.26666666666667,cell differentiation,GO:0002292;GO:0007294;GO:0007308;GO:0030716;GO:0030727;GO:0042078;GO:0042490;GO:0048132;GO:0048134;GO:0048135;GO:0048469;GO:0048670;GO:0048672;GO:0060113;GO:0071689;GO:0098728
GO:0030198,0,0,extracellular matrix organization,
GO:0030705,0,0,cytoskeleton-dependent intracellula...,
GO:0032196,0,0,transposition,
GO:0034330,1,0.133333333333333,cell junction organization,GO:0030913
GO:0034641,7,0.933333333333333,cellular nitrogen compound metaboli...,GO:0036261;GO:0006787;GO:0006789;GO:0033015;GO:0034035;GO:0042167;GO:0050427
GO:0034655,0,0,nucleobase-containing compound cata...,
GO:0040007,2,0.266666666666667,growth,GO:0048670;GO:0048672
GO:0040011,3,0.4,locomotion,GO:0036336;GO:0060361;GO:0070358
GO:0042254,0,0,ribosome biogenesis,
GO:0042592,0,0,homeostatic process,
GO:0043473,0,0,pigmentation,
GO:0044281,20,2.66666666666667,small molecule metabolic process,GO:0002138;GO:0006063;GO:0006067;GO:0006068;GO:0019295;GO:0019296;GO:0019585;GO:0034035;GO:0034310;GO:0042573;GO:0050427;GO:0052695;GO:0052696;GO:0052697;GO:0090181;GO:0090205;GO:2001029;GO:2001030
GO:0044403,0,0,symbiont process,
GO:0048646,7,0.933333333333333,anatomical structure formation invo...,GO:0007294;GO:0010927;GO:0021556;GO:0030727;GO:0030913;GO:0071689
