,Count,Percent,Term
GO:0000003,11,2.08333333333333,reproduction
GO:0000278,0,0,mitotic cell cycle
GO:0000902,1,0.189393939393939,cell morphogenesis
GO:0002376,3,0.568181818181818,immune system process
GO:0003013,0,0,circulatory system process
GO:0005975,5,0.946969696969697,carbohydrate metabolic process
GO:0006091,5,0.946969696969697,generation of precursor metabolites...
GO:0006259,1,0.189393939393939,DNA metabolic process
GO:0006397,2,0.378787878787879,mRNA processing
GO:0006399,5,0.946969696969697,tRNA metabolic process
GO:0006412,2,0.378787878787879,translation
GO:0006457,1,0.189393939393939,protein folding
GO:0006464,4,0.757575757575758,cellular protein modification proce...
GO:0006520,1,0.189393939393939,cellular amino acid metabolic proce...
GO:0006605,0,0,protein targeting
GO:0006629,4,0.757575757575758,lipid metabolic process
GO:0006790,2,0.378787878787879,sulfur compound metabolic process
GO:0006810,16,3.03030303030303,transport
GO:0006913,0,0,nucleocytoplasmic transport
GO:0006914,0,0,autophagy
GO:0006950,1,0.189393939393939,response to stress
GO:0007005,0,0,mitochondrion organization
GO:0007009,0,0,plasma membrane organization
GO:0007010,0,0,cytoskeleton organization
GO:0007034,0,0,vacuolar transport
GO:0007049,0,0,cell cycle
GO:0007059,0,0,chromosome segregation
GO:0007155,0,0,cell adhesion
GO:0007165,2,0.378787878787879,signal transduction
GO:0007267,0,0,cell-cell signaling
GO:0007568,0,0,aging
GO:0008150,219,41.4772727272727,biological_process
GO:0008219,1,0.189393939393939,cell death
GO:0008283,2,0.378787878787879,cell proliferation
GO:0009056,7,1.32575757575758,catabolic process
GO:0009058,13,2.46212121212121,biosynthetic process
GO:0009790,2,0.378787878787879,embryo development
GO:0015031,9,1.70454545454545,protein transport
GO:0015979,0,0,photosynthesis
GO:0016192,0,0,vesicle-mediated transport
GO:0019748,0,0,secondary metabolic process
GO:0021700,2,0.378787878787879,developmental maturation
GO:0022607,0,0,cellular component assembly
GO:0022618,0,0,ribonucleoprotein complex assembly
GO:0030154,4,0.757575757575758,cell differentiation
GO:0030198,0,0,extracellular matrix organization
GO:0030705,0,0,cytoskeleton-dependent intracellula...
GO:0032196,0,0,transposition
GO:0034330,0,0,cell junction organization
GO:0034641,72,13.6363636363636,cellular nitrogen compound metaboli...
GO:0034655,1,0.189393939393939,nucleobase-containing compound cata...
GO:0040007,2,0.378787878787879,growth
GO:0040011,2,0.378787878787879,locomotion
GO:0042254,4,0.757575757575758,ribosome biogenesis
GO:0042592,2,0.378787878787879,homeostatic process
GO:0043473,0,0,pigmentation
GO:0044281,55,10.4166666666667,small molecule metabolic process
GO:0044403,4,0.757575757575758,symbiosis, encompassing mutualism t...
GO:0048646,8,1.51515151515152,anatomical structure formation invo...
GO:0048856,35,6.62878787878788,anatomical structure development
GO:0048870,2,0.378787878787879,cell motility
GO:0050877,0,0,nervous system process
GO:0051186,10,1.89393939393939,cofactor metabolic process
GO:0051276,4,0.757575757575758,chromosome organization
GO:0051301,0,0,cell division
GO:0051604,0,0,protein maturation
GO:0055085,2,0.378787878787879,transmembrane transport
GO:0061024,0,0,membrane organization
GO:0065003,0,0,macromolecular complex assembly
GO:0071554,0,0,cell wall organization or biogenesi...
GO:0071941,0,0,nitrogen cycle metabolic process
GO:0140014,0,0,mitotic nuclear division
